instance,customer_num,routes_used_number,distance_all,execution_time,random_seed
R111,100,14,1361.01,151.126,112
R112,100,13,1284.8,152.106,112
R201,100,10,1312.22,143.905,112
R202,100,10,1268.87,163.503,112
R203,100,9,1144.21,217.284,112
R204,100,10,1056.99,300.339,112
R205,100,12,1308.14,146.302,112
R206,100,10,1216.84,164.512,112
R207,100,10,1083.51,215.579,112
R208,100,7,879.908,301.635,112
R209,100,10,1111.82,150.657,112
R210,100,11,1236.03,148.566,112
R211,100,7,1051,154.021,112
R101,100,21,1715.25,143.784,113
R102,100,19,1682.95,162.047,113
R103,100,16,1442.44,212.98,113
R104,100,13,1210.39,295.905,113
R105,100,17,1544.42,145.456,113
R106,100,16,1424.36,163.157,113
R107,100,14,1350.53,210.091,113
R108,100,12,1145.74,298.457,113
R109,100,16,1370.37,148.761,113
R110,100,16,1375.46,150.487,113
R111,100,14,1252.14,150.495,113
R112,100,13,1277.14,151.068,113
R201,100,12,1337.52,145.387,113
R202,100,11,1311.51,164.351,113
R203,100,9,1163.83,215.973,113
R204,100,7,957.376,301.519,113
R205,100,11,1314.9,147.394,113
R206,100,10,1149.84,165.226,113
R207,100,7,1004.78,215.489,113
R208,100,7,907.374,303.134,113
R209,100,9,1171.58,149.466,113
R210,100,10,1195.54,152.683,113
R211,100,9,1093.24,155.45,113
R101,100,21,1770.71,145.018,114
R102,100,18,1642.48,164.168,114
R103,100,17,1504.46,212.661,114
R104,100,14,1230.87,295.473,114
R105,100,17,1542.36,148.767,114
R106,100,16,1494.8,161.86,114
R107,100,15,1364.03,215.188,114
R108,100,12,1165.52,289.185,114
R109,100,16,1414,155.665,114
R110,100,14,1354.01,150.333,114
R111,100,16,1388.06,152.939,114
R112,100,12,1195.76,152.141,114
R201,100,11,1325.87,145.464,114
R202,100,11,1276.21,165.784,114
